iteration,r1c1,r1c3,r1c4,r1c5,r1c6,r2c1,r2c2,r2c3,r2c4,r2c6,r3c1,r3c2,r3c3,r3c4,r3c5,r3c6,r4c1,r4c2,r4c3,r4c4,r4c5,r4c6,r5c1,r5c5,r5c6,r6c1,r6c2,r6c3,r6c4,r6c5,r6c6
1731,99.99999721694448,95.01954774539848,93.83778106892963,92.60538974907945,93.28379410392945,98.38057293452658,95.86766107089875,94.5164720412019,94.36726218768216,90.87377169885482,96.92204508865682,95.54897867237652,93.25605327359753,93.13410134400803,93.05939843543575,91.74121368538931,95.51396251538017,94.40222771688771,93.17304505885758,91.07064945115454,91.76070458286699,91.83501771886974,94.26067117749446,89.49420791292744,90.50306391664161,92.87236474746787,91.65201103761099,90.44687370817624,89.25676302873447,88.49889758196238,89.22288285767358
1732,99.99999724477503,95.01954777322905,93.83778109676017,92.60538977691,93.28379413176,98.38057296235715,95.86766109872931,94.51647206903243,94.36726221551272,90.87377172668539,96.92204511648737,95.54897870020706,93.2560533014281,93.13410137183857,93.05939846326632,91.74121371321986,95.51396254321072,94.40222774471826,93.17304508668813,91.07064947898509,91.76070461069752,91.83501774670027,94.26067120532501,89.494207940758,90.50306394447216,92.87236477529841,91.65201106544154,90.44687373600681,89.25676305656502,88.49889760979293,89.22288288550413
1733,99.99999727232728,95.0195478007813,93.83778112431243,92.60538980446223,93.28379415931225,98.3805729899094,95.86766112628158,94.51647209658468,94.36726224306496,90.87377175423762,96.92204514403963,95.5489787277593,93.25605332898033,93.13410139939084,93.05939849081857,91.74121374077212,95.51396257076297,94.4022277722705,93.17304511424037,91.07064950653732,91.76070463824978,91.8350177742525,94.26067123287726,89.49420796831023,90.5030639720244,92.87236480285067,91.65201109299377,90.44687376355905,89.25676308411727,88.4988976373452,89.22288291305638
1734,99.999997299604,95.01954782805802,93.83778115158916,92.60538983173896,93.28379418658898,98.38057301718611,95.86766115355827,94.51647212386142,94.36726227034168,90.87377178151435,96.92204517131634,95.54897875503605,93.25605335625706,93.13410142666753,93.05939851809532,91.74121376804884,95.5139625980397,94.40222779954722,93.17304514151711,91.07064953381408,91.7607046655265,91.83501780152925,94.26067126015398,89.49420799558695,90.50306399930112,92.87236483012738,91.65201112027049,90.44687379083578,89.256763111394,88.4988976646219,89.2228829403331
1735,99.99999732660797,95.01954785506199,93.83778117859312,92.60538985874294,93.28379421359294,98.38057304419006,95.86766118056224,94.51647215086534,94.36726229734566,90.87377180851831,96.92204519832028,95.54897878204,93.25605338326102,93.1341014536715,93.05939854509923,91.74121379505281,95.51396262504366,94.40222782655118,93.17304516852104,91.070649560818,91.76070469253048,91.8350178285332,94.26067128715793,89.4942080225909,90.50306402630508,92.87236485713134,91.65201114727445,90.44687381783972,89.25676313839796,88.49889769162584,89.22288296733703
1736,99.99999735334188,95.0195478817959,93.83778120532702,92.60538988547687,93.28379424032687,98.38057307092399,95.86766120729615,94.51647217759927,94.36726232407955,90.87377183525223,96.9220452250542,95.54897880877388,93.25605340999493,93.13410148040542,93.05939857183317,91.74121382178669,95.51396265177755,94.40222785328511,93.17304519525496,91.07064958755193,91.76070471926437,91.83501785526713,94.26067131389186,89.49420804932484,90.503064053039,92.87236488386527,91.65201117400838,90.44687384457363,89.25676316513184,88.49889771835976,89.22288299407096
1737,99.99999737980846,95.01954790826248,93.8377812317936,92.60538991194342,93.28379426679344,98.38057309739058,95.86766123376273,94.51647220406585,94.36726235054613,90.87377186171884,96.92204525152079,95.54897883524049,93.25605343646149,93.13410150687199,93.05939859829975,91.74121384825328,95.51396267824414,94.40222787975168,93.17304522172155,91.0706496140185,91.76070474573096,91.83501788173368,94.26067134035843,89.4942080757914,90.50306407950559,92.87236491033185,91.65201120047496,90.44687387104022,89.25676319159842,88.49889774482637,89.22288302053754
1738,99.99999740601038,95.01954793446438,93.83778125799552,92.60538993814534,93.28379429299534,98.3805731235925,95.86766125996466,94.51647223026775,94.36726237674804,90.87377188792074,96.92204527772272,95.54897886144241,93.25605346266342,93.13410153307389,93.05939862450165,91.7412138744552,95.51396270444606,94.4022279059536,93.17304524792344,91.07064964022041,91.76070477193286,91.83501790793561,94.26067136656032,89.49420810199332,90.50306410570748,92.87236493653376,91.65201122667688,90.44687389724216,89.25676321780035,88.49889777102827,89.22288304673945
1739,99.99999743195028,95.01954796040428,93.83778128393541,92.60538996408523,93.28379431893524,98.3805731495324,95.86766128590456,94.51647225620768,94.36726240268793,90.87377191386062,96.92204530366263,95.5489788873823,93.25605348860331,93.13410155901379,93.05939865044154,91.74121390039508,95.51396273038596,94.40222793189349,93.17304527386337,91.0706496661603,91.76070479787275,91.8350179338755,94.26067139250021,89.49420812793322,90.50306413164739,92.87236496247363,91.65201125261676,90.44687392318204,89.25676324374027,88.49889779696815,89.22288307267934
1740,99.99999745763077,95.01954798608479,93.8377813096159,92.60538998976573,93.28379434461574,98.38057317521289,95.86766131158505,94.51647228188817,94.36726242836845,90.8737719395411,96.9220453293431,95.54897891306281,93.2560535142838,93.13410158469429,93.05939867612203,91.74121392607559,95.51396275606646,94.40222795757398,93.17304529954386,91.07064969184079,91.76070482355325,91.83501795955597,94.26067141818073,89.4942081536137,90.50306415732788,92.87236498815412,91.65201127829724,90.44687394886252,89.25676326942076,88.49889782264866,89.22288309835983
